Detail of Gifts	Item Category	Name of Recipient	Affiliation	Date	Assessed Value	Retention Cost	Retained	Remarks
"One  Carpet
(23”x41”)"	Carpet	 Asif  Riaz 	PTI	28/10/2020	3000	0	Displayed at PM House	Displayed at PM House
"a) One  Calligraphy
piece (Stone)
b) One Chogha`"		 Asif  Riaz 	PTI	02/11/2020	60000	15000	"Sr. a) Displayed at PM
house
Sr. b) Deposited in
Toshakhana"	"Sr. a) Displayed at PM
house
Sr. b) Deposited in
Toshakhana"
One Coffee Set (07 pcs)	Crockery	6 participants officers	Gen Mush	28/01/2002	1800	0	Yes	Yes
"A  Bowl  with  sweet
(Pizza,  Chocolate  &
Dates & Table Cloth"		Abdul  Rehman	Gen Mush	11/10/2005	10000	0	Yes	Yes
"A  decorated  wooden
bowl"		Abdul  Rehman	Gen Mush	11/10/2005	2000	0	Yes	Yes
A model of Dynasore		Abdul  Rehman	Gen Mush	11/10/2005	1500	0	Yes	Yes
A Shield		Abdul  Rehman	Gen Mush	13/12/2005	0	0	Yes	Yes
"One booklet, one card
holder,  one  coat  pin, with  pen,  decoration
piece & four books, with  pen,  decoration
piece & four books"		"Adan  Rishi
"	PTI	31/08/2022	10000	0	Yes	Yes
One  leather  black colour wallet	Decoration Pieces	ADC  (Navy)  to  the President	Gen Mush	04/02/2002	150	0	Auctioned	"Auctioned for
Rs.500/-"
One  Pen  Stand fitted with clock	Pen	Additional  Secretary-II	Gen Mush	06/02/2002	550	0	Auctioned	"Auctioned for
Rs.305/-"
One  small  silver ice cream cup	Crockery	Addl. Secretary  (Admn)	Gen Mush	08/02/2002	1350	0	Yes	Yes
One  piece red colour Afghani Handmade  carpet (small size)	Carpet	Admiral  (Retd.)  Abdul Aziz  Mirza	Gen Mush	08/02/2002	6500	0	Yes	Yes
One  Hand Painting	Decoration Pieces	Admiral  (Retd.)  Abdul Aziz  Mirza	Gen Mush	19/02/2002	600	0	Yes	Yes
One Insignia	Unknown	Admiral  (Retd.)  Abdul Aziz  Mirza	Gen Mush	19/02/2002	0	0	Yes	Yes
One  Metallic Plate  Embossed Scenery	Decoration Pieces	Admiral  M.  Zakaullah	Gen Mush	19/02/2002	6000	0	Yes	Yes
"One  metallic
vase"	Decoration Pieces	Admiral  M.  Zakaullah	Gen Mush	19/02/2002	850	0	Yes	Yes
Two Wall hangings	Decoration Pieces	Admiral  M.  Zakaullah	Gen Mush	19/02/2002	0	0	Yes	Yes
One small Piano	Decoration Pieces	Admiral  M.  Zakaullah	Gen Mush	19/02/2002	0	0	Yes	Yes
Two  small wooden dolls	Decoration Pieces	Admiral  M.  Zakaullah	Gen Mush	19/02/2002	0	0	Yes	Yes
"One  Book
Masjid-ul-
Hassan"	Unknown	Admiral  M.  Zakaullah	Gen Mush	19/02/2002	0	0	Yes	Yes
"One  Metallic
Bowl  with
wooden stand"	Decoration Pieces	Admiral  M.  Zakaullah	Gen Mush	19/02/2002	0	0	Yes	Yes
"One  Metallic
small plate"	Decoration Pieces	Admiral  M.  Zakaullah	Gen Mush	19/02/2002	0	0	Yes	Yes
"One  Tasbih  in
Wooden Box"	Decoration Pieces	Admiral  M.  Zakaullah	Gen Mush	19/02/2002	0	0	Yes	Yes
"Ornament
Necklace Set (03
Pieces)"	Jewellery/Accessories	Admiral  M.  Zakaullah	Gen Mush	19/02/2002	0	0	Yes	Yes
"One  cufflinks
Insignia on it"	Jewellery/Accessories	Admiral  M.  Zakaullah	Gen Mush	19/02/2002	0	0	Yes	Yes
"One  set  of
Cufflinks"	Jewellery/Accessories	Admiral  M.  Zakaullah	Gen Mush	20/02/2002	0	0	Auctioned	"Auctioned
for
Rs.150/-"
a.  Statue  of Golden Dragon b. One wall painting	Decoration Pieces	Admiral  M.  Zakaullah	Gen Mush	26/02/2002	26200	0	Auctioned	"Auctioned
for
Rs.150/-"
"Electronic  Prayer
Time Calendar"	Tech	Admiral  M.  Zakaullah	Gen Mush	28/02/2002	8000	0	Yes	Yes
"a.  Cotton  Bed
Spread
b. One Painting"	Decoration Pieces	Admiral  M.  Zakaullah	Gen Mush	28/02/2002	1800	0	Yes	Yes
"Metallic  Plate
with  Insignia  of
the  Chinese
Academy  of
Sciences"	Decoration Pieces	Admiral  M.  Zakaullah	Gen Mush	28/02/2002	0	0	Yes	Yes
"One  plastic  box
containing  one
carpet"	Carpet	Admiral  M.  Zakaullah	Gen Mush	02/03/2002	13000	450	Yes	Yes
"Jewellary  box
made of silver"	Jewellery/Accessories	Admiral  M.  Zakaullah	Judiciary	06/03/2002	5500	0	Yes	Yes
"Kehwa  set  (24
pcs)"	Crockery	Admiral  M.  Zakaullah	Judiciary	06/03/2002	4500	0	Yes	Yes
"One  revolver
clot"	Weapons	Admiral  M.  Zakaullah	Military	07/03/2002	72000	9300	Yes	Yes
One flower vase	Decoration Pieces	Admiral  M.  Zakaullah	Military	07/03/2002	4200	0	Yes	Yes
One shield	Weapons	Admiral  M.  Zakaullah	Military	07/03/2002	2000	0	Yes	Yes
One leather bag	Bags	Admiral  M.  Zakaullah	Military	07/03/2002	1800	0	Yes	Yes
"One  Jewellery
box"	Jewellery/Accessories	Admiral  M.  Zakaullah	Military	07/03/2002	1500	0	Yes	Yes
One photo frame	Decoration Pieces	Admiral  M.  Zakaullah	Military	07/03/2002	1500	0	Yes	Yes
One Scenery	Decoration Pieces	Admiral  M.  Zakaullah	Gen Mush	09/03/2002	1800	0	Yes	Yes
One flower vase	Decoration Pieces	Admiral  Tariq  Ali	PTI	30/04/2019	30000	0	Yes	Yes
One  Vase  China Clay	Decoration Pieces	"Admiral Asaf  Humayun
"	Gen Mush	19/02/2002	500	0	Yes	Yes
One  decoration piece of boat	Decoration Pieces	"Adviser  to  the  Prime Minister  for  Finance, Revenue  and Economic Affairs"	Gen Mush	13/03/2002	1500	0	Yes	Yes
One photo frame (10x10)	Decoration Pieces	"Adviser  to  the  Prime Minister  for  Finance, Revenue  and Economic Affairs"	Gen Mush	13/03/2002	1200	0	Yes	Yes
One  medal  with emblem	Jewellery/Accessories	"Adviser  to  the  Prime Minister  for  Finance, Revenue  and Economic Affairs"	Gen Mush	18/03/2002	0	0	Yes	Yes
One table clock	Decoration Pieces	Ahmed  Farooq	Gen Mush	19/03/2002	2500	0	Yes	Yes
"(Serbiti) 
(j)Two
Rahatlandyryjuy  (Tea
Bags)
(k)Three  Buyan
Kokonin Serbati
Packet 3:-
One  Packet  Containing
Turkmenistan  Melhem
Caylary One Green Tea set and"	Food	Ahsan Zafar	PTI	07/12/2021	3950	0		
Pair  of  flower vase	Decoration Pieces	Aijaz  Ahmed Chaudhary	Gen Mush	19/03/2002	0	0	Yes	Yes
One Wrist Watch Fendi  (Swiss) (No.016-4500G-992)	Watch	Aijaz  Ahmed Chaudhary	Gen Mush	22/03/2002	16000	0	Yes	Yes
One  small wooden box with six packets of tea	Food	Aijaz  Ahmed Chaudhary	Gen Mush	22/03/2002	0	0	Yes	Yes
"One  Wall Hanging
piece"		Ajmal  Khan	PTI	26/10/2020	20000	0	Yes	Yes
One Carpet	Carpet	Ajmal  Khan 	PTI	26/10/2020	3000	0	Yes	Yes
"A  decoration  piece 
(Gold)"	Decoration Pieces	Akbar  Ali	Gen Mush	11/10/2005	1000	0	Yes	Yes
A decoration piece	Decoration Pieces	Akbar  Ali	Gen Mush	13/12/2005	6000	0	Yes	Yes
One souvenir		"Akhtar  Farooq
"	PTI	29/07/2021	0	0	Yes	Yes
One decoration piece	Decoration Pieces	Akhtar Farooq	PTI	20/09/2021	15000	0	Yes	Yes
One  Wrist Watches FENDI	Watch	Ali Imran	Gen Mush	26/03/2002	20500	2325	Yes	Yes
One  Wrist Watches FENDI	Watch	Ali Imran	Gen Mush	26/03/2002	20500	2325	Yes	Yes
One tea set	Crockery	Alix Bux Ansari	Gen Mush	27/03/2002	4000	0	Yes	Yes
One Wrist Watch Bvlgari	Watch	Ameer  Khurram  Rathore	Military	29/03/2002	45000	5250	Yes	Yes
"One  wrist  watch,
Bulgari  (No.BB  33
SS L-9366)"	Watch	Amir  Saeed	Military	15/01/2003	62000	7800	Yes	Yes
"One  wrist  watch
Tissot (1853)"	Watch	Amir  Saeed	Gen Mush	20/01/2003	5200	0	Auctioned	"Auctioned for
Rs.4,000/-"
"One  tea  set  20
pieces"	Crockery	Amir  Saeed	Gen Mush	20/01/2003	2200	0	Auctioned	"Auctioned for
Rs.1,500/-"
"One  decoration
piece of Horse"	Decoration Pieces	Amir  Saeed	Gen Mush	21/01/2003	1000	0	Auctioned	"Auctioned for
Rs.3,500/-"
"a. One wrist watch
b. One medal
c. One calendar"	Watch	Amir  Saeed	Gen Mush	21/01/2003	0	0	Auctioned	"Auctioned
a. for Rs.1,001/-
b. for Rs.1,180/-"
"One  wrist  watch
Rolex"	Watch	Amir  Saeed	Media	31/01/2003	335000	0	Yes	Yes
"a. One  Gold  Bangle
and ring
b. Mobile set Nokia"		Amir  Saeed	Media	31/01/2003	35200	0	Yes	Yes
"One  wrist  watch
RADO"	Watch	Amir  Saeed	Media	31/01/2003	18500	0	Yes	Yes
"a. Hand wash Basin
b. Wall hanging (Mirror)"		Amir  Saeed	Gen Mush	08/06/2005	9000	0	Yes	Yes
"a. A bowl
b. A CD
c. A Book
d. A Scarf"		Amir  Saeed	Gen Mush	08/06/2005	1450	0	Yes	Yes
"a. One shield
b. Wooden  model  of
dagger"		Amir  Saeed	Gen Mush	01/07/2006	1000	0	Yes	Yes
One rug		Ammar Amin	Gen Mush	23/07/2003	1000	0	Yes	Yes
"a. One shield
b. One  golden  and
diamond necklace
c. One  ladies  purse
gold  and  diamond
made
d. Pair  of  ear  rings
gold  and  diamond
made"		Ammar Amin	Military	28/07/2003	515500	75825	Yes	Yes
"a. Pair of studs
b. One  framed
model of sword
c. Wooden  box
containing saddle,
d. One carpet
e. One carpet"	Carpet	Ammar Amin	Military	28/07/2003	12500	3375	Yes	Yes
"a. One shawl
b. Two caps,
c. Pair  of  metallic
flowers
d. Model of tree
e. Framed  clay
painting"		Ammar Amin	Military	28/07/2003	14100	915	Yes	Yes
"One  packet  of
plates"		Ammar Amin	Military	29/07/2003	4300	0	Yes	Yes
"a. Two books
b. A game board"		Ammar Amin	Gen Mush	12/03/2006	2000	0	Yes	Yes
"One  wrist  watch
omega"	Watch	Ammar Amin		01/07/2006	300000	43500	Yes	Yes
"One  lady’s  wrist
watch,  Concord
(No.1209097-
61.EI.1855)"	Watch	Ammar Amin	Gen Mush	01/07/2006	360000	0	Auctioned	"Auctioned for
Rs.235,000/-"
"One  shirt  (Gents)
(Kenypool Classic)"		Ammar Amin		03/07/2006	1200	0	Yes	Yes
"a. One Ladies hand bag
(Yellow color)
b.  One  scarf  green
color"	Bags	Anwar  Karim		07/12/2021	32000	0	Yes	Yes
"One  envelope
containing:-
a. Book
b. Wall clock
c. T.shirt
d. Cap
e. Model of camel
f. Pen"		Anwar  Karim	Military	07/12/2021	4500	0	Yes	Yes
One  wooden decoration piece	Decoration Pieces	Arif  Mehmood	Military	29/03/2002	2000	0	Yes	Yes
One flower vase	Decoration Pieces	Arif  Mehmood	Military	29/03/2002	2000	0	Yes	Yes
"One Tissot  Swiss
watch-T 033410B"	Watch	Arif Khan	Military	10/12/2021	30000	0	Yes	Yes
"One  (white  colour)
vase  (porcelain)
(Chinese)"	Decoration Pieces	"Arshad
Mahmood"		06/01/2022	40000	0	No	No
One  tea  set  (17 pcs)	Crockery	Arshad  Ali	Gen Mush	30/03/2002	4000	0	Yes	Yes
"One  Decoration
piece (tray)"	Decoration Pieces	Arshad Alam	PTI	02/12/2020	20000	0	Yes	Yes
One shield		Asad  Hussain  Alvi	PTI	29/07/2021	0	0	Yes	Yes
"One  frame  name  of
Allah"		Asad Hassan Alvi	PTI	20/09/2021	5000	0	Yes	Yes
"One  box  containing  Pair
of Pen (Caran D’Ache)"	Pen	Asaf Humanyun 	PTI	22/11/2019	0	0	Yes	Yes
One  wrist  watch Korean Made	Watch	ASI  Fakhar  Maqbool	Judiciary	30/03/2002	4000	0	Yes	Yes
